,Customer Name,Age,Name of Industry,Job title,Annual salary,Work experience,Gender,State,Category,Sub-Category,Product Name,Sales
155,Alejandro Savely,25-34,Church,Pastor,50000,8 - 10 years,Woman,California,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",80.88
156,Laura Armstrong,55-64,Church ministry,Director of Faith Formation ,55000,31 - 40 years,Woman,Washington,Office Supplies,Art,Newell 311,6.63
157,Denny Ordway,25-34,"Clean Energy (eg. energy efficiency, renewables, etc.)",Energy Analyst (Self-Employed),200000,8 - 10 years,Woman,Washington,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.56800000000004
158,Dean Katz,25-34,Cleaning,Cleaner,41600,8 - 10 years,Woman,Oklahoma,Office Supplies,Labels,Avery 519,14.62
159,Nathan Gelder,35-44,Clergy,Clergy (don't want to be more specific due to anonymity),108150,5-7 years,Woman,Oklahoma,Technology,Phones,Avaya 5420 Digital phone,944.9300000000001
160,Mike Vittorini,35-44,Clinical & Translational Reserach,Clinical Research Coordinator,76000,21 - 30 years,Woman,California,Office Supplies,Paper,Xerox 1920,5.98
161,Jack Garza,25-34,clinical research,Clinical Research Monitor,63000,11 - 20 years,Woman,Pennsylvania,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,54.38400000000001
162,Bart Pistole,25-34,Clinical Research ,Research Analyst,58500,5-7 years,Woman,New Mexico,Office Supplies,Envelopes,Staple envelope,28.4
163,Victor Preis,25-34,Clinical Research Manager - academic institution,Clinical Research Manager,82000,8 - 10 years,Woman,Washington,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.680000000000003
164,Saphhira Shifley,55-64,clinical trials research coordination,Social/Clinical Research Coordinator,44000,21 - 30 years,Man,Texas,Office Supplies,Art,BIC Brite Liner Highlighters,9.936
165,Anna Gayman,45-54,coaching,Wellbeing Coach,44000,21 - 30 years,Woman,Texas,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,8159.951999999999
166,Luke Foster,25-34,Coffee - Importing,Quality Control Manager,95000,8 - 10 years,Woman,Texas,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,275.928
167,Roy Französisch,25-34,College Athletics,Academic Coordinator,37500,2 - 4 years,Woman,Texas,Furniture,Chairs,SAFCO Arco Folding Chair,1740.0599999999997
168,Keith Herrera,55-64,Commercial Building Material Distribution,Senior Vice President,400000,21 - 30 years,Man,Texas,Office Supplies,Art,Sanford Liquid Accent Highlighters,32.064
169,Kimberly Carter,25-34,Commercial Fisherman,Sternman,26000,8 - 10 years,Woman,Texas,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,177.97999999999996
170,Caroline Jumper,35-44,Commercial furniture,Project Coordinator,40000,5-7 years,Woman,Texas,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,143.976
171,Philip Brown,35-44,Commercial Landscaping ,Project Analyst or Data Manager,42840,21 - 30 years,Woman,California,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",20.94
172,Michael Paige,35-44,Commercial Real Estate,Marketing Director,127500,11 - 20 years,Man,California,Office Supplies,Paper,Xerox 1913,110.96
173,Natalie Fritzler,35-44,Commercial Real Estate ,Administrative Associate,55000,11 - 20 years,Woman,California,Furniture,Chairs,"Global Value Steno Chair, Gray",340.14400000000006
174,Shirley Daniels,25-34,Commercial Real Estate - Private Equity,Administrative Assistant,72000,5-7 years,Man,Illinois,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.44799999999999
175,Ken Heidel,35-44,Commercial Real Estate Data and Analytics/Research,Client Relationship Consultant,68700,11 - 20 years,Woman,Illinois,Office Supplies,Labels,Avery 51,20.16
176,Ross Baird,55-64,commodities trading,Legal Assistant,75000,31 - 40 years,Man,Texas,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.26399999999998
177,Mike Kennedy,25-34,Communication Research,Senior Researcher,90456,5-7 years,Woman,Ohio,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",396.802
178,Philisse Overcash,25-34,Communications,Communications Manager,85000,5-7 years,Woman,Ohio,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,15.88
179,Brenda Bowman,45-54,Communications ,Communications specialist advisor,100000,31 - 40 years,Woman,New York,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",3.28
180,Troy Blackwell,25-34,Community Foundation,Program Manager,84000,5-7 years,Woman,Illinois,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",24.816000000000003
181,Raymond Buch,35-44,Community Management,Community Association Manager,64000,21 - 30 years,Woman,Illinois,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,408.74399999999997
182,Ed Braxton,25-34,Compliance,Senior Analyst,54313,8 - 10 years,Man,Louisiana,Technology,Phones,AT&T TR1909W,503.96
183,Sanjit Chand,35-44,Compliance ,Senior Complisnce Specialist ,83000,11 - 20 years,Woman,Louisiana,Technology,Phones,Nokia Lumia 521 (T-Mobile),149.95
184,Tanja Norvell,45-54,Computing or Tech,Systems Analyst,112000,21 - 30 years,Woman,Louisiana,Technology,Accessories,HP Standard 104 key PS/2 Keyboard,29.0
185,Joni Sundaresam,35-44,Concrete,Inside Sales,44000,11 - 20 years,Woman,Connecticut,Office Supplies,Binders,Avery Poly Binder Pockets,7.16
186,Maya Herman,35-44,Construction,Yard Manager,60000,8 - 10 years,Woman,California,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.8
187,Jeremy Pistek,45-54,Construction ,Project Coordinator ,100000,21 - 30 years,Woman,Texas,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",37.224000000000004
188,Jeremy Ellison,18-24,Construction Management,Assistant Project Engineer,60000,1 year or less,Woman,Texas,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,20.016000000000002
189,John Grady,35-44,"Construction, HVAC ",Programmer,62400,8 - 10 years,Man,New York,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.1360000000001
190,Xylona Preis,35-44,Consultant,Owner,60000,11 - 20 years,Woman,New York,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,71.76
191,Erin Mull,45-54,Consulting,Senior Hazard Mitigation Manager,150000,21 - 30 years,Woman,New York,Office Supplies,Paper,Xerox 205,51.84
192,Michelle Tran,25-34,Consulting ,Environmental Scientist II,65000,2 - 4 years,Woman,New York,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",626.3520000000001
193,Sue Ann Reed,18-24,Consulting / Professional Services,Associate,50000,5-7 years,Woman,New York,Office Supplies,Art,4009 Highlighters by Sanford,19.9
194,Carl Weiss,25-34,Consulting Operations- Big 4,Associate Director,100000,11 - 20 years,Woman,California,Office Supplies,Envelopes,Poly String Tie Envelopes,14.280000000000001
195,Astrea Jones,35-44,Consumer goods,Customer development director,208000,11 - 20 years,Woman,Ohio,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408
196,Sonia Sunley,25-34,Consumer Goods Production,IT - CRM Admin,55000,5-7 years,Woman,Ohio,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",6.048
197,Rose O'Brian,35-44,Consumer Packaged Goods,Director of Product Development,134971,8 - 10 years,Woman,New Jersey,Office Supplies,Storage,Decoflex Hanging Personal Folder File,46.26
198,Maribeth Dona,25-34,Consumer packaged goods ,Data analyst ,95000,8 - 10 years,Woman,Pennsylvania,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.9460000000000006
199,Maribeth Yedwab,35-44,consumer product design,Senior Mechanical Engineer,117000,11 - 20 years,Woman,Pennsylvania,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16.056
200,Christopher Martinez,18-24,Consumer Product Goods,Supply Planner,75000,2 - 4 years,Woman,Ohio,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.744000000000003
201,Lynn Smith,25-34,Consumer Product Organization ,HR Generalist ,85000,11 - 20 years,Man,Colorado,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75
202,Bradley Nguyen,45-54,consumer products,sr manager,147000,21 - 30 years,Woman,Colorado,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6
203,Dean Braden,35-44,Consumer Products design ,Controller,69000,11 - 20 years,Woman,Texas,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,66.28399999999999
204,Matt Connell,25-34,Consumer Research,Senior Researcher,97000,8 - 10 years,Woman,Tennessee,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",35.168000000000006
205,Brian Dahlen,25-34,Consumer/Packaged Goods,"Senior Analyst, Business Transformation Portfolio Lead",95000,5-7 years,Woman,California,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,444.76800000000003
206,Patricia Hirasaki,35-44,Content Review - Copyright/DMCA,Tier 2 Copyright Admin,51000,11 - 20 years,Woman,Michigan,Office Supplies,Storage,"Tennsco Lockers, Gray",83.92
207,Mike Gockenbach,25-34,Contract Research,Associate,105000,2 - 4 years,Woman,Michigan,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,131.98
208,Karen Bern,35-44,Corporate accounting in death care (funeral & cemetery),Senior accountant,103000,11 - 20 years,Woman,Michigan,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",15.92
209,Jasper Cacioppo,45-54,Corporate Learning and Development,Sr. Instructional Designer,80000,21 - 30 years,Woman,Michigan,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",52.29
210,Rob Lucas,25-34,Corporate sustainability ,Policy Analyst,86000,2 - 4 years,Woman,Michigan,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",91.99
211,Allen Armold,45-54,Corporate Training,Senior Advisor,280000,21 - 30 years,Woman,Texas,Technology,Accessories,Memorex Micro Travel Drive 8 GB,20.8
212,Emily Phan,45-54,Corporate Travel Industry,Product Manager,91000,31 - 40 years,Woman,Ohio,Office Supplies,Labels,Avery 505,23.680000000000003
213,Darren Koutras,45-54,Cosmetology ,Self employed ,80000,31 - 40 years,Man,Ohio,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,452.45
214,Bradley Drucker,25-34,Counseling,Licensed Professional Counselor,40000,5-7 years,Man,Ohio,Technology,Phones,Speck Products Candyshell Flip Case,62.982
215,Liz MacKendrick,25-34,CPG,Social media manager ,68000,2 - 4 years,Woman,Ohio,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,1188.0000000000002
216,Adrian Shami,25-34,CPG / Retail,Senior Director,175000,5-7 years,Woman,Ohio,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,89.584
217,Bill Donatelli,35-44,Craft Beer Industry ,"Brewery Sales Manager, Beer Brand Manager",70000,11 - 20 years,Woman,California,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",93.06
218,Greg Tran,25-34,Cultural Heritage,Librarian,60500,8 - 10 years,Woman,California,Technology,Phones,Adtran 1202752G1,302.376
219,Ashley Jarboe,45-54,Cultural Resource Management,Archaeologist,56388,21 - 30 years,Man,Ohio,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips,5.5840000000000005
220,Olvera Toch,35-44,Cultural Resources Management/Major Univ.,Asst. Curator & Outreach Coordinator,30000,11 - 20 years,Woman,Ohio,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",22.704000000000004
221,Liz Pelletier,25-34,Customer Service,Customer Service Rep,41600,5-7 years,Woman,Ohio,Office Supplies,Binders,Ibico Standard Transparent Covers,19.776000000000003
222,Cynthia Arntzen,35-44,Customer service ,Web Customer Service Rep. ,55,21 - 30 years,Man,Ohio,Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock",72.704
223,Jeremy Farry,35-44,Customer service/call center,Customer service supervisor,40000,11 - 20 years,Woman,Ohio,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,479.98800000000006
224,Frank Preis,35-44,Customer service/publishing-adjacent ,Research Communication Partner,64500,5-7 years,Woman,Ohio,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners,27.168000000000003
225,Ellis Ballard,18-24,Data Analytics,Analyst,55000,2 - 4 years,Woman,Michigan,Office Supplies,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",2.2
226,Jennifer Ferguson,25-34,Data Breach,Senior Project Coordinator ,56410,8 - 10 years,Woman,Michigan,Furniture,Tables,Bevis 36 x 72 Conference Tables,622.4499999999999
227,Sarah Foster,25-34,Data Entry,Data Entry,31000,8 - 10 years,Woman,Michigan,Office Supplies,Storage,Rogers Deluxe File Chest,21.98
228,Trudy Glocke,25-34,Data/Institutional Research in Higher Education,Project Manager,57211,8 - 10 years,Woman,Tennessee,Furniture,Chairs,Global Low Back Tilter Chair,161.568
229,Carlos Soltero,55-64,Database subscription services,President and CEO,100000,41 years or more,Woman,Tennessee,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",389.696
230,Charles Crestani,45-54,Defense,Technical editor,82000,8 - 10 years,Woman,North Carolina,Office Supplies,Binders,GBC Instant Index System for Binding Systems,18.648000000000003
231,Dianna Vittorini,35-44,Defense ,Contracts negotiator ,71000,5-7 years,Man,Florida,Furniture,Tables,Bush Advantage Collection Round Conference Table,233.86
232,Bruce Degenhardt,35-44,Defense contracting,Project Controller Senior,98500,11 - 20 years,Woman,Florida,Furniture,Tables,Bretford Rectangular Conference Table Tops,620.6145000000001
233,Zuschuss Carroll,35-44,Defense Contractor,Senior Engineering Logistics Specialist I ,69000,8 - 10 years,Woman,Florida,Office Supplies,Binders,GBC Instant Index System for Binding Systems,5.328000000000001
234,Melanie Seite,35-44,Delivery and installation for commercial machinery,Driver,30000,11 - 20 years,Woman,Florida,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",258.072
235,Lena Radford,25-34,Diagnostic Medical Devices,Test Engineer,68000,2 - 4 years,Woman,Florida,Technology,Accessories,Logitech P710e Mobile Speakerphone,617.9760000000001
236,Theone Pippenger,25-34,digital commerce / ecommerce,Director of Enablement,100000,5-7 years,Woman,California,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),10.56
237,Chloris Kastensmidt,35-44,Digital Marketing,"Senior SEO Technician, Founder",76700,11 - 20 years,Woman,Illinois,Office Supplies,Paper,Xerox 1957,25.920000000000005
238,Alan Shonely,25-34,digital marketing within a book publishing company (please reclassify as you see fit),digital marketing associate,50000,11 - 20 years,Woman,Illinois,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,419.68000000000006
239,Andrew Roberts,55-64,Direct support  professional  in a group  home,Direct support  staff awake  driving ,32280,31 - 40 years,Woman,Illinois,Furniture,Furnishings,Staple-based wall hangings,11.688
240,Nona Balk,35-44,Distribution,Digital Project Manager,95000,11 - 20 years,Woman,Illinois,Technology,Phones,PureGear Roll-On Screen Protector,31.983999999999998
241,Giulietta Dortch,35-44,"Diversity, Equity & Inclusion ",Manager,140000,8 - 10 years,Woman,Illinois,Furniture,Tables,KI Conference Tables,177.225
242,Clytie Kelty,25-34,DoD Contracting,Technical Writer Lead,93000,11 - 20 years,Man,Illinois,Furniture,Furnishings,Eldon 100 Class Desk Accessories,4.0440000000000005
243,Nat Gilpin,45-54,Drug development ,Director of Biology ,147000,21 - 30 years,Man,Illinois,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408
244,Christina Anderson,35-44,E commerce ,Customer Experience Coordinator ,42000,11 - 20 years,Woman,Minnesota,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2001.8600000000001
245,Sylvia Foulston,35-44,Eap,Account Manager ,73000,8 - 10 years,Man,Minnesota,Office Supplies,Storage,Safco Steel Mobile File Cart,166.72
246,Meg O'Connel,35-44,Early Childhood Education,Lead Teacher,30000,11 - 20 years,Woman,Minnesota,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",47.88
247,Annie Thurman,45-54,Early childhood education (preschool),Director of Early Childhood Education ,106000,31 - 40 years,Woman,Minnesota,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,1503.25
248,Fred McMath,25-34,Early Education,Early Head Start Co-Lead Teacher,40000,2 - 4 years,Woman,Minnesota,Office Supplies,Paper,Xerox 205,25.92
249,Denny Joy,25-34,Early Education (corporate office),Marketing Manager,52000,8 - 10 years,Woman,California,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",321.568
250,Max Engle,25-34,Earth sciences,Project Geologist,75000,2 - 4 years,Woman,California,Office Supplies,Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",7.61
251,Justin Deggeller,25-34,Ecology ,Field Technician II,54000,5-7 years,Woman,California,Technology,Accessories,Logitech P710e Mobile Speakerphone,3347.37
252,John Lee,35-44,e-comm,Director of Customer Experience,115000,11 - 20 years,Woman,New York,Office Supplies,Storage,"Fellowes Personal Hanging Folder Files, Navy",80.58
253,Sean Christensen,55-64,Ecommerce,Customer Service Manager,47840,21 - 30 years,Woman,New York,Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes,361.92
254,Chuck Clark,25-34,E-commerce,E-commerce specialist,45000,8 - 10 years,Woman,Illinois,Furniture,Furnishings,Eldon 100 Class Desk Accessories,12.132000000000001
255,Anthony Rawles,35-44,ECommerce ,Executive assistant ,120000,11 - 20 years,Woman,Illinois,Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black",82.368
256,Steven Roelle,25-34,Ecommerce - Technology,Software Engineer,125000,2 - 4 years,Woman,Illinois,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",53.92
257,Craig Reiter,35-44,Ecommerce fraud,Director of Customer Success,120000,21 - 30 years,Woman,Illinois,Technology,Phones,Logitech Mobile Speakerphone P710e - speaker phone,647.904
258,Eugene Hildebrand,25-34,Ed Tech,Junior Software Engineer,90000,5-7 years,Woman,New York,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub,20.37
259,Sibella Parks,55-64,Editor in educational publishing,Editor,49000,21 - 30 years,Man,New York,Office Supplies,Storage,Safco Industrial Shelving,221.54999999999998
260,Tiffany House,25-34,EdTech,Junior Software Engineer,90000,5-7 years,Woman,New York,Office Supplies,Binders,Acco 3-Hole Punch,17.52
261,Resi Pölking,55-64,Educ tech,Facilities/ux recruiter,42000,31 - 40 years,Woman,Texas,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,1.6239999999999994
262,Rob Beeghly,25-34,Education (Early Childhood Education),Quality Rating Specialist,62400,11 - 20 years,Woman,Texas,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,3059.982
263,Carol Darley,25-34,Education (Higher Education),Research and Instruction Librarian,55000,5-7 years,Woman,Texas,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,2519.9579999999996
264,Doug Jacobs,25-34,Education (Primary/Secondary),Librarian,50000,5-7 years,Woman,Illinois,Technology,Phones,Cisco Small Business SPA 502G VoIP phone,328.224
265,Grant Thornton,35-44,Education Consulting,Director,118000,11 - 20 years,Woman,California,Technology,Accessories,Microsoft Sculpt Comfort Mouse,79.9
266,Michael Chen,35-44,Education- museum/public outreach , Program Manager ,84000,21 - 30 years,Woman,North Carolina,Office Supplies,Art,"Quartet Omega Colored Chalk, 12/Pack",14.015999999999998
267,Ralph Arnett,35-44,Education Publishing ,Managing Editor,52500,5-7 years,Woman,New Jersey,Office Supplies,Fasteners,Bagged Rubber Bands,7.5600000000000005
268,Naresj Patel,25-34,Education research- mix of Edtech and non profits,Self employed,140000,8 - 10 years,Woman,Ohio,Office Supplies,Storage,Safco Commercial Shelving,37.208
269,Alan Barnes,35-44,Education service provider,Executive Director - School Level,116000,11 - 20 years,Woman,Ohio,Office Supplies,Envelopes,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",57.576
270,Jesus Ocampo,35-44,Education services (tutoring),Owner/Operator,100000,11 - 20 years,Woman,California,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,725.84
271,Jay Kimmel,25-34,Education start-up,Content Writer,93600,2 - 4 years,Woman,California,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,209.92999999999998
272,Brad Norvell,25-34,education writing,staff writer,48500,2 - 4 years,Woman,California,Furniture,Furnishings,Regeneration Desk Collection,5.28
273,David Philippe,45-54,Education/vocational,Managing Director,100000,21 - 30 years,Man,California,Office Supplies,Binders,Presstex Flexible Ring Binders,10.92
274,Tracy Hopkins,35-44,Education: preschool ,Director ,100000,11 - 20 years,Man,California,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",8.82
275,Arthur Prichep,35-44,Educational assessment,Science Content Specialist II,74000,11 - 20 years,Woman,California,Office Supplies,Art,Newell 330,5.98
276,Roland Schwarz,25-34,Educational products,Research Assistant,42000,2 - 4 years,Woman,Pennsylvania,Office Supplies,Paper,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",11.648000000000001
277,Seth Vernon,45-54,educational publishing,Senior Editor,75000,21 - 30 years,Woman,Pennsylvania,Office Supplies,Paper,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",18.176
278,Christine Kargatis,35-44,Educational publishing / ed tech,Instructional Design Director,124000,11 - 20 years,Woman,Pennsylvania,Office Supplies,Storage,Eldon Simplefile Box Office,59.712
279,Ross DeVincentis,35-44,Educational Research,Research Manager,56000,11 - 20 years,Woman,Pennsylvania,Office Supplies,Labels,Avery 489,24.839999999999996
280,Mathew Reese,25-34,Educational technology,Director of Product,95000,11 - 20 years,Woman,Texas,Office Supplies,Binders,Round Ring Binders,2.0799999999999996
281,Steve Chapman,25-34,Educational Technology - hybrid between book publishing and technology really,Business Development Specialist,67000,8 - 10 years,Man,Texas,Technology,Phones,Bose SoundLink Bluetooth Speaker,1114.4
282,Jay Fein,25-34,e-learning,Project Manager and Writer,47000,2 - 4 years,Woman,California,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",1038.84
283,Emily Grady,35-44,Emergency Management,Disaster Preparedness Specialsi,76000,11 - 20 years,Woman,Oregon,Office Supplies,Paper,Easy-staple paper,141.76
284,Darrin Sayre,25-34,Energy,Fuel Efficiency Program Analyst,76000,8 - 10 years,Woman,Oregon,Technology,Accessories,Microsoft Arc Touch Mouse,239.80000000000004
285,Phillina Ober,25-34,Energy - Oil and Gas,Geologist,150000,8 - 10 years,Woman,Oregon,Office Supplies,Paper,Xerox 216,31.104000000000006
286,Sung Shariari,45-54,"Energy (oil & gas & associated products, renewable power, etc)",Environmental Manager,253300,21 - 30 years,Woman,Florida,Office Supplies,Binders,GBC VeloBinder Electric Binding Machine,254.05800000000002
287,Peter Bühler,45-54,Energy (Oil & Gas),Senior Security Engineer,120000,21 - 30 years,Woman,Florida,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",194.52800000000002
288,Roland Fjeld,35-44,Energy Sector: Oil & Gas,IT Admin,47000,11 - 20 years,Woman,Florida,Office Supplies,Supplies,Premier Automatic Letter Opener,961.4800000000001
289,Yoseph Carroll,35-44,Energy Supplier,Lead Analyst,73000,11 - 20 years,Woman,Ohio,Office Supplies,Fasteners,Advantus SlideClip Paper Clips,19.096
290,Debra Catini,45-54,"Energy, Oil & Gas",Director of Contracts & Risk,130000,21 - 30 years,Man,Ohio,Office Supplies,Labels,Avery 512,18.496000000000002
291,Christine Phan,35-44,"Energy, Oil and Gas",Geologist,125000,8 - 10 years,Man,Ohio,Technology,Accessories,Logitech Wireless Gaming Headset G930,255.98400000000004
292,Barry Französisch,25-34,Energy/oil,Data Analyst,62000,8 - 10 years,Woman,Ohio,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",86.97
293,Lisa Hazard,45-54,Energy: oil & gas,GIS Lead,75000,21 - 30 years,Woman,Colorado,Furniture,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",300.416
294,Chris Selesnick,35-44,Engineering and Environmental Consulting,Project Manager,75000,11 - 20 years,Woman,Colorado,Furniture,Chairs,Global Deluxe Office Fabric Chairs,230.35200000000003
295,Anthony Johnson,25-34,Engineering or Manufacturing,Research Engineer,80000,5-7 years,Woman,Colorado,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,218.35200000000003
296,Benjamin Venier,25-34,Entertainment,Publicity Coordinator,50000,5-7 years,Woman,Colorado,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,78.60000000000001
297,Dan Lawera,18-24,Entertainment data,Research Coordinator,52000,1 year or less,Woman,Colorado,Office Supplies,Fasteners,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",27.552000000000003
298,Bryan Mills,25-34,Env. Consulting,Project Geologist,60000,5-7 years,Woman,New Jersey,Office Supplies,Paper,Xerox 223,32.400000000000006
299,Liz Thompson,18-24,Environment,Associate Ecologist,46000,1 year or less,Woman,New Jersey,Office Supplies,Storage,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",1082.48
300,Joe Kamberova,25-34,"Environment, health, and safety",EHS analyst,70000,8 - 10 years,Woman,New Jersey,Office Supplies,Paper,Xerox 1939,56.91
301,Erica Smith,35-44,environmental,environmental manager,87880,11 - 20 years,Woman,New Jersey,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",77.6
302,Rick Hansen,25-34,Environmental ,Scientist,65000,8 - 10 years,Woman,New Jersey,Office Supplies,Binders,Avery Premier Heavy-Duty Binder with Round Locking Rings,14.28
303,Carlos Daly,35-44,Environmental compliance,Archaeologist,54000,11 - 20 years,Woman,Illinois,Furniture,Tables,BPI Conference Tables,219.07500000000002
304,Helen Wasserman,18-24,environmental compliance ,environmental compliance specialist ,40000,1 year or less,Woman,New York,Furniture,Furnishings,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,26.8
305,Mike Caudle,25-34,environmental compliance/engineering,Environmental engineer,87460,8 - 10 years,Woman,Michigan,Office Supplies,Art,Newell 350,9.84
306,Gary McGarr,25-34,Environmental Consultanting,Environmental Scientist,40200,2 - 4 years,Man,New Jersey,Office Supplies,Binders,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",45.480000000000004
307,Pauline Johnson,45-54,Environmental Consulting,Senior Consultant,105000,21 - 30 years,Woman,New Jersey,Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,289.20000000000005
308,Bart Watters,25-34,Environmental Consulting ,Environmental Planner,68000,8 - 10 years,Woman,Virginia,Office Supplies,Art,Faber Castell Col-Erase Pencils,4.89
309,Toby Ritter,25-34,Environmental Health + Pest Control,Client Service Representative,57900,8 - 10 years,Woman,Colorado,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,15.136000000000003
